749136,840748
487764,485961
823690,571471
103193,103245
822696,822720
261410,261419
232722,259584
202740,174831
32147,77049
353648,346700
780094,780297
347853,347850
471507,471524
615649,615924
806087,806097
251494,251503
472039,472063
122393,122413
99759,521543
173451,173466
32533,32410
381190,381189
929812,743900
798503,798327
851298,871234
116678,121450
635619,635577
125912,127842
725946,725941
620624,620686
822692,822725
731078,731099
176165,176166
873476,547
24325,898469
729284,729298
369012,369018
706526,93886
699667,699638
129120,128392
669577,669570
285993,286007
813452,813438
377805,382219
793417,793415
564506,569409
127229,139176
59457,59451
536220,536199
55732,55734
246998,246226
291494,291498
462785,535656
25726,44159
215983,215985
797738,644514
571501,571474
903197,903195
312957,210823
292890,292895
628198,944618
901344,771815
64729,602682
363794,363784
717353,717345
578662,578658
196022,195991
648053,607941
760845,870676
805309,805314
619931,619933
723197,87037
260744,260772
757669,757675
689391,680907
604577,856832
137049,137055
870112,869888
272308,217596
612282,611988
202386,202371
915137,676119
459731,459739
872135,551744
345139,345137
836712,836741
267128,267119
746138,801115
932349,63844
546072,546078
896256,466781
876346,876348
448253,458092
440482,440466
582390,646044
772274,7803
634313,634305
697778,697780
490828,490801
416192,419465
